time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
1940-01-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1940-01-01T07:37,1940-01-01T16:21,31469.59,NaN,NaN,NaN,NaN,3.0,NaN,NaN,NaN,NaN,NaN
1940-01-02,3,-5.6,-13.8,-8.8,-9.9,-18.4,-13.2,1940-01-02T07:37,1940-01-02T16:22,31523.31,27268.41,0.00,0.00,0.00,0.0,8.4,20.5,48,6.56,0.52
1940-01-03,2,-4.7,-17.2,-11.3,-9.5,-22.0,-16.0,1940-01-03T07:37,1940-01-03T16:23,31581.44,27334.64,0.00,0.00,0.00,0.0,9.7,25.2,226,6.15,0.46
1940-01-04,71,-2.9,-10.7,-6.6,-6.5,-14.9,-10.5,1940-01-04T07:37,1940-01-04T16:24,31643.87,4821.56,0.60,0.00,0.42,6.0,7.3,16.6,353,2.92,0.29
1940-01-05,3,-0.0,-3.6,-1.9,-4.5,-7.3,-6.0,1940-01-05T07:37,1940-01-05T16:25,31710.54,24000.50,0.00,0.00,0.00,0.0,8.7,21.2,13,4.92,0.64
1940-01-06,1,0.5,-2.6,-1.1,-3.3,-6.4,-5.0,1940-01-06T07:36,1940-01-06T16:26,31781.36,26103.36,0.00,0.00,0.00,0.0,8.2,15.1,14,5.61,0.65
1940-01-07,0,-0.3,-3.7,-1.6,-3.7,-7.8,-5.1,1940-01-07T07:36,1940-01-07T16:27,31856.23,27646.87,0.00,0.00,0.00,0.0,6.8,12.2,45,6.71,0.58
1940-01-08,1,-1.3,-4.3,-2.7,-4.7,-8.4,-6.5,1940-01-08T07:36,1940-01-08T16:28,31935.09,27736.20,0.00,0.00,0.00,0.0,7.5,14.8,28,6.56,0.56
1940-01-09,71,-0.7,-4.6,-2.4,-6.4,-8.7,-7.3,1940-01-09T07:36,1940-01-09T16:29,32017.98,25355.22,0.60,0.00,0.42,4.0,18.0,36.4,45,5.92,0.83
1940-01-10,71,-2.7,-9.5,-5.5,-8.2,-16.0,-11.9,1940-01-10T07:35,1940-01-10T16:30,32105.84,7259.87,0.80,0.00,0.56,7.0,23.6,50.4,48,3.27,0.96
1940-01-11,71,-9.1,-13.1,-10.7,-15.6,-20.0,-17.4,1940-01-11T07:35,1940-01-11T16:32,32198.68,19752.94,0.20,0.00,0.14,2.0,22.6,50.4,57,5.08,0.94
1940-01-12,71,-5.8,-10.8,-8.7,-11.2,-16.6,-14.2,1940-01-12T07:35,1940-01-12T16:33,32296.27,27294.26,0.10,0.00,0.07,1.0,16.0,33.5,44,5.72,0.77
1940-01-13,1,-6.8,-14.3,-10.7,-10.6,-19.1,-15.1,1940-01-13T07:34,1940-01-13T16:34,32398.40,28238.85,0.00,0.00,0.00,0.0,7.6,13.7,300,7.10,0.49
1940-01-14,0,-1.0,-14.5,-7.8,-4.7,-18.9,-11.9,1940-01-14T07:34,1940-01-14T16:35,32504.86,28276.52,0.00,0.00,0.00,0.0,6.1,15.5,233,7.27,0.58
1940-01-15,1,-0.1,-12.3,-6.2,-3.8,-16.4,-10.1,1940-01-15T07:33,1940-01-15T16:36,32615.45,28316.88,0.00,0.00,0.00,0.0,4.8,11.9,329,7.28,0.59
1940-01-16,2,-1.7,-10.2,-6.2,-5.7,-14.4,-10.3,1940-01-16T07:32,1940-01-16T16:38,32729.95,18939.53,0.00,0.00,0.00,0.0,7.1,12.6,10,5.30,0.51
1940-01-17,73,-3.0,-6.1,-4.3,-7.3,-10.4,-8.4,1940-01-17T07:32,1940-01-17T16:39,32848.16,0.00,5.10,0.00,3.57,19.0,13.6,29.5,29,1.97,0.26
1940-01-18,73,-5.2,-12.5,-10.5,-10.3,-18.5,-16.3,1940-01-18T07:31,1940-01-18T16:40,32969.87,0.00,6.10,0.00,4.27,15.0,17.1,47.9,42,2.40,0.44
1940-01-19,73,-9.7,-18.1,-12.6,-15.3,-23.1,-17.7,1940-01-19T07:30,1940-01-19T16:42,33094.89,25200.00,3.80,0.00,2.66,9.0,15.0,32.8,50,6.75,0.43
1940-01-20,3,-12.4,-20.1,-16.5,-16.9,-24.8,-21.3,1940-01-20T07:30,1940-01-20T16:43,33223.02,28670.49,0.00,0.00,0.00,0.0,9.2,15.1,139,8.05,0.35
1940-01-21,71,-11.8,-21.5,-15.8,-16.1,-26.5,-20.3,1940-01-21T07:29,1940-01-21T16:45,33354.05,24137.06,0.60,0.00,0.42,6.0,7.0,13.0,296,5.72,0.29
1940-01-22,73,-10.5,-21.7,-15.8,-14.6,-26.1,-20.1,1940-01-22T07:28,1940-01-22T16:46,33487.82,17531.03,2.00,0.00,1.40,11.0,6.6,13.7,8,5.00,0.26
1940-01-23,75,-6.3,-10.5,-8.3,-10.0,-15.0,-12.1,1940-01-23T07:27,1940-01-23T16:47,33624.11,0.00,16.70,0.00,11.69,24.0,7.2,28.1,3,1.95,0.21
